Index,Year,"Rank Order","Country code",Country or Area,City code,Urban Agglomeration,Note,Latitude,Longitude,Population (millions)
162,1975,12,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,7.6 227 03 0
163,1975,13,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,7.3 179 47 0
164,1975,14,840,United States of America,22956,Chicago,,41.8500,-87.6501,7.1 604 45 0
165,1975,15,826,United Kingdom,22860,London,2,51.5085,-0.1257,7.1 243 83 0
166,1975,16,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,6.8 075 19 0
167,1975,17,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,6.4 499 22 0
168,1975,18,156,China,20656,Shanghai,5,31.2222,121.4581,5.6 581 29 0
169,1975,19,608,Philippines,22109,Manila,15,14.6042,120.9822,4.9 993 03 0
170,1975,20,156,China,20464,Beijing,11,39.9075,116.3972,4.8 279 73 0
171,1975,21,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,4.8 131 32 0
172,1975,22,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,4.6 094 71 0
173,1975,23,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,4.4 670 08 0
174,1975,24,356,India,21228,Delhi,16,28.6667,77.2167,4.4 363 85 0
175,1975,25,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,4.3 254 23 0
176,1975,26,364,Iran (Islamic Republic of),21523,Tehran,,35.6944,51.4215,4.2 730 48 0
177,1975,27,586,Pakistan,22044,Karachi,,24.9056,67.0822,3.9 891 91 0
178,1975,28,724,Spain,22549,Madrid,,40.4165,-3.7026,3.8 902 08 0
179,1975,29,840,United States of America,22974,Detroit,,42.3871,-83.1026,3.8 851 19 0
180,1975,30,764,Thailand,22617,Krung Thep (Bangkok),,13.7220,100.5252,3.8 420 23 0
181,1980,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,28.5 485 12 0
182,1980,2,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,17.0 275 47 0
183,1980,3,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,15.6 014 01 0
184,1980,4,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,13.0 276 2 0
185,1980,5,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,12.0 894 54 0
186,1980,6,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,9.9 197 81 0
187,1980,7,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,9.5 115 68 0
188,1980,8,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,9.1 995 43 0
189,1980,9,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,9.1 001 66 0
190,1980,10,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,8.7 838 7 0
191,1980,11,250,France,20985,Paris,,48.8534,2.3488,8.6 693 49 0
192,1980,12,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,8.2 443 52 0
193,1980,13,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,8.1 361 41 0
194,1980,14,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,7.7 773 28 0
195,1980,15,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,7.3 487 78 0
196,1980,16,840,United States of America,22956,Chicago,,41.8500,-87.6501,7.2 161 9 0
197,1980,17,826,United Kingdom,22860,London,2,51.5085,-0.1257,6.7 511 96 0
198,1980,18,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,5.9 842 56 0
199,1980,19,608,Philippines,22109,Manila,15,14.6042,120.9822,5.9 547 19 0
200,1980,20,156,China,20656,Shanghai,5,31.2222,121.4581,5.9 278 98 0
201,1980,21,356,India,21228,Delhi,16,28.6667,77.2167,5.5 870 14 0
202,1980,22,156,China,20464,Beijing,11,39.9075,116.3972,5.3 663 72 0
203,1980,23,364,Iran (Islamic Republic of),21523,Tehran,,35.6944,51.4215,5.0 791 91 0
204,1980,24,586,Pakistan,22044,Karachi,,24.9056,67.0822,5.0 478 15 0
205,1980,25,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,4.7 256 26 0
206,1980,26,764,Thailand,22617,Krung Thep (Bangkok),,13.7220,100.5252,4.7 231 43 0
207,1980,27,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,4.6 447 17 0
208,1980,28,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,4.5 400 82 0
209,1980,29,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,4.4 965 88 0
210,1980,30,604,Peru,22078,Lima,17,-12.0432,-77.0282,4.4 377 54 0
211,1985,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,30.3 037 94 0
212,1985,2,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,17.5 826 32 0
213,1985,3,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,15.8 267 88 0
214,1985,4,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,14.2 782 16 0
215,1985,5,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,13.3 948 15 0
216,1985,6,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,10.6 855 3 0
217,1985,7,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,10.5 234 42 0
218,1985,8,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,10.1 811 72 0
219,1985,9,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,10.0 036 65 0
220,1985,10,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,9.3 336 74 0
221,1985,11,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,9.2 417 09 0
222,1985,12,250,France,20985,Paris,,48.8534,2.3488,8.9 562 22 0
223,1985,13,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,8.5 799 2 0
224,1985,14,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,8.3 282 55 0
225,1985,15,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,8.0 231 49 0
226,1985,16,840,United States of America,22956,Chicago,,41.8500,-87.6501,7.2 851 21 0
227,1985,17,356,India,21228,Delhi,16,28.6667,77.2167,7.2 257 58 0
228,1985,18,156,China,20656,Shanghai,5,31.2222,121.4581,7.0 962 8 0
229,1985,19,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,7.0 090 3 0
230,1985,20,608,Philippines,22109,Manila,15,14.6042,120.9822,6.8 879 2 0
231,1985,21,826,United Kingdom,22860,London,2,51.5085,-0.1257,6.7 409 54 0
232,1985,22,586,Pakistan,22044,Karachi,,24.9056,67.0822,6.0 325 82 0
233,1985,23,156,China,20464,Beijing,11,39.9075,116.3972,6.0 174 88 0
234,1985,24,364,Iran (Islamic Republic of),21523,Tehran,,35.6944,51.4215,5.8 391 93 0
235,1985,25,792,Turkey,22691,Istanbul,,41.0138,28.9497,5.4 072 97 0
236,1985,26,764,Thailand,22617,Krung Thep (Bangkok),,13.7220,100.5252,5.2 791 27 0
237,1985,27,604,Peru,22078,Lima,17,-12.0432,-77.0282,5.1 161 17 0
238,1985,28,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,4.9 611 98 0
239,1985,29,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,4.9 597 21 0
240,1985,30,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,4.8 444 16 0
241,1990,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,32.5 300 03 0
242,1990,2,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,18.3 887 83 0
243,1990,3,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,16.0 855 99 0
244,1990,4,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,15.6 423 18 0
245,1990,5,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,14.7 758 4 0
246,1990,6,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,12.3 550 9 0
